id,last,first,state,phone,email,gradyear,gpa,program
1,Cunningham,Lai,California,(209) 555-525,lcunningham2@alumni.rouxacademy.com,2011,2.47,Photography
5,Kirby,An,Texas,(806) 555-552,akirby@alumni.rouxacademy.com,2009,3.19,Fine Art and Visual Culture
184,Cook,Alana,Iowa,(319) 555-018,acook2@alumni.rouxacademy.com,2004,3.64,Graphic Design
274,Parrish,Lucien,New Mexico,(575) 555-193,lparrish5@alumni.rouxacademy.com,2005,2.99,Photography
434,Jefferson,Kirstin,Massachusetts,(978) 555-696,kjefferson@alumni.rouxacademy.com,2004,3.75,Graphic Design
443,Rodriguez,Emile,Illinois,(217) 555-685,erodriguez@alumni.rouxacademy.com,2005,3.23,Graphic Design
506,Parsons,Rudolf,Texas,(281) 555-411,rparsons@alumni.rouxacademy.com,2004,3.61,Fine Art and Visual Culture
549,Eaton,Fredda,Arkansas,(501) 555-468,featon@alumni.rouxacademy.com,2007,2.53,Graphic Design
586,Kirk,Jannet,New Jersey,(201) 555-103,jkirk@alumni.rouxacademy.com,2006,2.61,Photography
627,Knowles,Elayne,Missouri,(636) 555-705,eknowles2@alumni.rouxacademy.com,2007,3.7,Fine Art and Visual Culture
689,Waters,Carter,New Jersey,(201) 555-767,cwaters2@alumni.rouxacademy.com,2008,3.52,Fine Art and Visual Culture
776,Travis,Lidia,Minnesota,(218) 555-696,ltravis@alumni.rouxacademy.com,2004,3.98,Graphic Design
803,Pratt,Robert,California,(323) 555-403,rpratt2@alumni.rouxacademy.com,2009,3.2,Graphic Design
826,Reyes,Naomi,Utah,(435) 555-199,nreyes@alumni.rouxacademy.com,2007,2.07,Animation
998,Cochran,Nickie,California,(424) 555-715,ncochran@alumni.rouxacademy.com,2008,3.6,Fashion and Textile Design
1034,Church,Mackenzie,California,(530) 555-708,mchurch@alumni.rouxacademy.com,2009,2.6,Animation
1211,Moreno,Amira,Illinois,(773) 555-023,amoreno@alumni.rouxacademy.com,2002,2.21,Photography
1406,Lowe,Harold,Florida,(305) 555-652,hlowe@alumni.rouxacademy.com,2010,2.41,Animation
1672,Huff,Jin,New York,(607) 555-970,jhuff@alumni.rouxacademy.com,2006,3.32,Fine Art and Visual Culture
1687,Vazquez,Werner,Delaware,(302) 555-896,wvazquez@alumni.rouxacademy.com,2000,3.33,Fashion and Textile Design
1967,Frazier,Marget,New York,(845) 555-900,mfrazier@alumni.rouxacademy.com,2009,3.24,Fine Art and Visual Culture
1996,Trujillo,Bianca,Indiana,(317) 555-264,btrujillo@alumni.rouxacademy.com,2011,3.08,Fine Art and Visual Culture
